op,dtype,mode,shape,latency_base_ms,latency_ms,speedup
CUTENSOR_OP_COS,fp16,kernel,"[[16,64,64]]",0.013885,0.007173,1.9357
CUTENSOR_OP_COS,fp16,kernel,"[[256,512]]",0.013981,0.007635,1.8312
CUTENSOR_OP_COS,fp16,kernel,"[[128,1024]]",0.014231,0.007577,1.8782
CUTENSOR_OP_COS,fp16,kernel,"[[64,64,64]]",0.015115,0.008423,1.7945
CUTENSOR_OP_COS,fp16,kernel,"[[128,128,64]]",0.025827,0.015846,1.6299
CUTENSOR_OP_COS,bf16,kernel,[[1024]],0.008077,0.004077,1.9811
CUTENSOR_OP_COS,bf16,kernel,[[2048]],0.007712,0.004442,1.7359
CUTENSOR_OP_COS,bf16,kernel,[[4096]],0.008635,0.005173,1.6691
CUTENSOR_OP_COS,bf16,kernel,[[8192]],0.009212,0.004788,1.9237
CUTENSOR_OP_COS,bf16,kernel,[[16384]],0.010654,0.005577,1.9103
CUTENSOR_OP_COS,bf16,kernel,[[32768]],0.014058,0.006788,2.0708
CUTENSOR_OP_COS,bf16,kernel,[[65536]],0.014308,0.007096,2.0163
CUTENSOR_OP_COS,bf16,kernel,[[131072]],0.014615,0.007577,1.9289
CUTENSOR_OP_COS,bf16,kernel,[[262144]],0.016077,0.008635,1.8619
CUTENSOR_OP_COS,bf16,kernel,[[524288]],0.018981,0.010423,1.8210
CUTENSOR_OP_COS,bf16,kernel,[[1048576]],0.026346,0.015635,1.6851
CUTENSOR_OP_COS,bf16,kernel,[[2097152]],0.041019,0.026673,1.5379
CUTENSOR_OP_COS,bf16,kernel,[[4194304]],0.068327,0.048269,1.4155
CUTENSOR_OP_COS,bf16,kernel,[[8388608]],0.147558,0.076904,1.9187
CUTENSOR_OP_COS,bf16,kernel,"[[128,128]]",0.010692,0.005519,1.9373
CUTENSOR_OP_COS,bf16,kernel,"[[32,64,16]]",0.013808,0.006942,1.9889
CUTENSOR_OP_COS,bf16,kernel,"[[64,256]]",0.010654,0.005577,1.9103
CUTENSOR_OP_COS,bf16,kernel,"[[16,64,64]]",0.014135,0.007077,1.9973
CUTENSOR_OP_COS,bf16,kernel,"[[256,512]]",0.014731,0.007558,1.9491
CUTENSOR_OP_COS,bf16,kernel,"[[128,1024]]",0.014462,0.007596,1.9038
CUTENSOR_OP_COS,bf16,kernel,"[[64,64,64]]",0.016250,0.008385,1.9381
CUTENSOR_OP_COS,bf16,kernel,"[[128,128,64]]",0.026365,0.015712,1.6781
CUTENSOR_OP_COS,fp32,kernel,[[1024]],0.007519,0.004000,1.8798
CUTENSOR_OP_COS,fp32,kernel,[[2048]],0.008077,0.004365,1.8502
CUTENSOR_OP_COS,fp32,kernel,[[4096]],0.008442,0.005154,1.6381
CUTENSOR_OP_COS,fp32,kernel,[[8192]],0.009231,0.004788,1.9277
CUTENSOR_OP_COS,fp32,kernel,[[16384]],0.010923,0.005962,1.8323
